Human Mouse
ROCK1	Rock1
ARHGEF18	Arhgef18
PTGER4	Ptger4
HMOX2	Hmox2
RHOB	Rhob
OPRK1	Oprk1
DNM1L	Dnm1l
PPP3CB	Ppp3cb
PDE10A	Pde10a
NOX3	Nox3
MEP1B	Mep1b
MMP12	Mmp12
OTC	Otc
INHBA	Inhba
MAS1	Mas1
SNX29	Snx29
GNG2	Gng2
AGTR2	Agtr2
ROCK2	Rock2
KEAP1	Keap1
MAP3K5	Map3k5
TNFRSF11B	Tnfrsf11b
CDK6	Cdk6
IL2	Il2
ABCA3	Abca3
ADRB3	Adrb3
CCN2	Ccn2
CAV1	Cav1
NEDD9	Nedd9
NAMPT	Nampt
ARG1	Arg1
SGK1	Sgk1
TRPC6	Trpc6
APOA1	Apoa1
TGFBR1	Tgfbr1
TRPC4	Trpc4
PTGER2	Ptger2
SMAD7	Smad7
TIRAP	Tirap
NOS3	Nos3
VCAN	Vcan
BMPR2	Bmpr2
KLF2	Klf2
ACAA2	Acaa2
TBXAS1	Tbxas1
RXFP1	Rxfp1
JAK2	Jak2
SMAD4	Smad4
PREP	Prep
HRG	Hrg
HTR7	Htr7
GSR	Gsr
FLT4	Flt4
APOE	Apoe
CSF1R	Csf1r
PDGFRB	Pdgfrb
MIF	Mif
DUSP9	Dusp9
NOTCH3	Notch3
MAPK14	Mapk14
ESR2	Esr2
MME	Mme
MIR145	Mir145a
CASR	Casr
BMP4	Bmp4
CYSLTR1	Cysltr1
BCR	Bcr
PDE1C	Pde1c
IL1RN	Il1rn
ADORA2A	Adora2a
TLR4	Tlr4
DUSP1	Dusp1
BRD3	Brd3
MYLK	Mylk
GDF2	Gdf2
BRAF	Braf
CTBP1	Ctbp1
HIF1A	Hif1a
PPP3R1	Ppp3r1
KCNK3	Kcnk3
LOX	Lox
PTGDR	Ptgdr
CBLN2	Cbln2
KCNJ1	Kcnj1
PPP3R2	Ppp3r2
DRD1	Drd1
CASP8	Casp8
DBH	Dbh
PARP2	Parp2
CACNA1H	Cacna1h
CASP3	Casp3
FGA	Fga
BRD4	Brd4
DUSP4	Dusp4
PTGIR	Ptgir
ARG2	Arg2
MAPK8	Mapk8
ADRB2	Adrb2
DRD3	Drd3
PDE9A	Pde9a
FOXF1	Foxf1
NFE2L2	Nfe2l2
HTR2A	Htr2a
DDAH2	Ddah2
MPO	Mpo
SLC6A4	Slc6a4
GREM1	Grem1
LOXL2	Loxl2
PPARG	Pparg
MTOR	Mtor
MIR130A	Mir130a
ENPEP	Enpep
VEGFA	Vegfa
DLL4	Dll4
P2RX7	P2rx7
PDE5A	Pde5a
SCN1A	Scn1a
LRRK2	Lrrk2
ACVR1B	Acvr1b
DDR2	Ddr2
HTR2C	Htr2c
ABCC9	Abcc9
ECE1	Ece1
ELANE	Elane
EIF2AK4	Eif2ak4
TYR	Tyr
IFNG	Ifng
ADORA2B	Adora2b
MMP2	Mmp2
STAT3	Stat3
PDK2	Pdk2
HTR1A	Htr1a
INHBB	Inhbb
TLR9	Tlr9
COL18A1	Col18a1
RAPGEF3	Rapgef3
ALDH2	Aldh2
KCNJ11	Kcnj11
IL6R	Il6ra
NOS2	Nos2
GNB3	Gnb3
CHUK	Chuk
SCN2A	Scn2a
CDK4	Cdk4
TOPBP1	Topbp1
ABCC8	Abcc8
BCL2	Bcl2
ZFC3H1	Zfc3h1
TXNRD1	Txnrd1
CXCR1	Cxcr1
SSH2	Ssh2
KIT	Kit
CASP9	Casp9
MAPK10	Mapk10
IFIH1	Ifih1
DDAH1	Ddah1
ACE2	Ace2
EEF2K	Eef2k
DRD2	Drd2
HRH1	Hrh1
DUSP16	Dusp16
ABL1	Abl1
KARS1	Kars
ALOX5	Alox5
KDM5B	Kdm5b
HMGCR	Hmgcr
ACKR3	Ackr3
RET	Ret
KCNJ8	Kcnj8
TCF7L2	Tcf7l2
PDE4D	Pde4d
ENG	Eng
PDE3A	Pde3a
CMA1	Cma1
BRD2	Brd2
XDH	Xdh
PTGFR	Ptgfr
F2RL1	F2rl1
DUSP5	Dusp5
PDK1	Pdk1
MTHFR	Mthfr
DHCR24	Dhcr24
ANPEP	Anpep
VHL	Vhl
BRAP	Brap
BDKRB2	Bdkrb2
EPHX2	Ephx2
HDAC1	Hdac1
GDF11	Gdf11
APEH	Apeh
TRPM8	Trpm8
KCNA5	Kcna5
PARP3	Parp3
HTR2B	Htr2b
CPS1	Cps1
EDNRB	Ednrb
CCND3	Ccnd3
EDNRA	Ednra
ACVRL1	Acvrl1
VIPR2	Vipr2
CYP19A1	Cyp19a1
TNFRSF13B	Tnfrsf13b
ADORA3	Adora3
HMOX1	Hmox1
TRPC5	Trpc5
TBX4	Tbx4
HTR1B	Htr1b
TET2	Tet2
DDR1	Ddr1
DUSP7	Dusp7
F2	F2
SMAD1	Smad1
ASB2	Asb2
PTGER3	Ptger3
PPP3CC	Ppp3cc
DUSP6	Dusp6
PARP1	Parp1
HTR6	Htr6
ADRB1	Adrb1
RAF1	Raf1
PDGFRA	Pdgfra
PDE4B	Pde4b
KDR	Kdr
APLNR	Aplnr
EPAS1	Epas1
ADORA1	Adora1
BMPR1B	Bmpr1b
TPH1	Tph1
LTA4H	Lta4h
CRHBP	Crhbp
TBXA2R	Tbxa2r
CCND1	Ccnd1
CCR2	Ccr2
ANO1	Ano1
SPHK1	Sphk1
TGM2	Tgm2
CTSA	Ctsa
FLT3	Flt3
DUSP10	Dusp10
BMP2	Bmp2
FLT1	Flt1
CRHR1	Crhr1
ACE	Ace
PRKCB	Prkcb
VIPR1	Vipr1
FGF7	Fgf7
OPRL1	Oprl1
CD19	Cd19
SMURF1	Smurf1
CAPN2	Capn2
DRD4	Drd4
CCR5	Ccr5
RNF213	Rnf213
ALOX5AP	Alox5ap
DUSP2	Dusp2
PTGIS	Ptgis
